Participant_ID,Discipline,Avg_PSI,Final_Quality
1,STEM,2.10,2.40
2,STEM,2.45,2.90
3,STEM,2.80,3.30
4,STEM,3.10,3.10
5,STEM,3.30,3.70
6,STEM,3.50,3.40
7,STEM,3.65,3.90
8,STEM,3.75,3.60
9,STEM,3.80,4.20
10,STEM,3.85,4.00
11,STEM,3.90,4.40
12,Social Science,2.15,3.00
13,Social Science,2.50,2.60
14,Social Science,2.85,3.50
15,Social Science,3.15,3.10
16,Social Science,3.35,3.80
17,Social Science,3.55,3.60
18,Social Science,3.70,4.10
19,Social Science,3.80,4.00
20,Social Science,3.85,4.30
21,Social Science,3.90,4.10
22,Social Science,3.95,4.60
