Participant_ID,Discipline,R1_Context,R1_Specificity,R1_Iteration,R1_Strategy,R2_Context,R2_Specificity,R2_Iteration,R2_Strategy,Sum_Score,Raw_PSI_Mean,Avg_PSI_Target
1,STEM,3,2,2,2,3,2,2,1,17,2.125,2.1
2,STEM,3,3,2,2,3,3,2,2,20,2.5,2.45
3,STEM,3,3,3,2,3,3,3,2,22,2.75,2.8
4,STEM,3,3,3,3,3,4,3,3,25,3.125,3.1
5,STEM,3,3,4,3,3,3,4,3,26,3.25,3.3
6,STEM,4,4,3,3,4,4,3,3,28,3.5,3.5
7,STEM,4,4,4,3,4,3,4,3,29,3.625,3.65
8,STEM,4,4,3,4,4,4,3,4,30,3.75,3.75
9,STEM,4,4,3,4,4,4,3,4,30,3.75,3.8
10,STEM,4,4,3,4,4,4,4,4,31,3.875,3.85
11,STEM,4,4,4,4,4,4,4,3,31,3.875,3.9
12,Social Science,2,2,2,2,2,2,3,2,17,2.125,2.15
13,Social Science,3,2,3,2,3,2,3,2,20,2.5,2.5
14,Social Science,3,3,2,3,3,3,3,3,23,2.875,2.85
15,Social Science,3,4,3,3,3,3,3,3,25,3.125,3.15
16,Social Science,3,3,4,3,3,4,4,3,27,3.375,3.35
17,Social Science,3,3,4,4,3,3,4,4,28,3.5,3.55
18,Social Science,4,3,4,4,4,3,4,4,30,3.75,3.7
19,Social Science,3,4,4,4,3,4,4,4,30,3.75,3.8
20,Social Science,4,3,4,4,4,4,4,4,31,3.875,3.85
21,Social Science,4,4,4,4,4,3,4,4,31,3.875,3.9
22,Social Science,4,4,4,4,4,4,4,4,32,4.0,3.95
